Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","5521","Feed","2532","Cassava and products","2013","2013","1000 tonnes","87058","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2532","Cassava and products","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2532","Cassava and products","2013","2013","1000 tonnes","30539","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2532","Cassava and products","2013","2013","1000 tonnes","2461","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2532","Cassava and products","2013","2013","1000 tonnes","35987","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2532","Cassava and products","2013","2013","1000 tonnes","100637","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2532","Cassava and products","2013","2013","kg","14.38","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2532","Cassava and products","2013","2013","kcal/capita/day","37","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2531","Potatoes and products","2013","2013","1000 tonnes","47271","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2531","Potatoes and products","2013","2013","1000 tonnes","32200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2531","Potatoes and products","2013","2013","1000 tonnes","35455","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2531","Potatoes and products","2013","2013","1000 tonnes","12937","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2531","Potatoes and products","2013","2013","1000 tonnes","10656","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2531","Potatoes and products","2013","2013","1000 tonnes","239075","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2531","Potatoes and products","2013","2013","kg","34.17","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2531","Potatoes and products","2013","2013","kcal/capita/day","64","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2533","Sweet potatoes","2013","2013","1000 tonnes","35259","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2533","Sweet potatoes","2013","2013","1000 tonnes","594","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2533","Sweet potatoes","2013","2013","1000 tonnes","6432","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5131","Processing","2533","Sweet potatoes","2013","2013","1000 tonnes","47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2533","Sweet potatoes","2013","2013","1000 tonnes","60","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2533","Sweet potatoes","2013","2013","1000 tonnes","57061","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2533","Sweet potatoes","2013","2013","kg","8.15","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2533","Sweet potatoes","2013","2013","kcal/capita/day","22","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5521","Feed","2535","Yams","2013","2013","1000 tonnes","4912","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2535","Yams","2013","2013","1000 tonnes","2208","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2535","Yams","2013","2013","1000 tonnes","6764","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5154","Other uses","2535","Yams","2013","2013","1000 tonnes","16277","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2535","Yams","2013","2013","1000 tonnes","32512","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2535","Yams","2013","2013","kg","4.65","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2535","Yams","2013","2013","kcal/capita/day","13","Fc","Calculated data"
