Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2556","Groundnuts (Shelled Eq)","2013","2013","kg","1.75","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2556","Groundnuts (Shelled Eq)","2013","2013","kcal/capita/day","25","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2557","Sunflower seed","2013","2013","1000 tonnes","668","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2557","Sunflower seed","2013","2013","1000 tonnes","1279","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2557","Sunflower seed","2013","2013","1000 tonnes","561","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2557","Sunflower seed","2013","2013","kg","0.08","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2557","Sunflower seed","2013","2013","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2558","Rape and Mustardseed","2013","2013","1000 tonnes","697","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2558","Rape and Mustardseed","2013","2013","1000 tonnes","1839","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5142","Food","2558","Rape and Mustardseed","2013","2013","1000 tonnes","1051","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","645","Food supply quantity (kg/capita/yr)","2558","Rape and Mustardseed","2013","2013","kg","0","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2558","Rape and Mustardseed","2013","2013","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","5527","Seed","2559","Cottonseed","2013","2013","1000 tonnes","1261","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5000","World","5123","Losses","2559","Cottonseed","2013","2013","1000 tonnes","1174","A","Aggregate, may include official, semi-official, estimated or calculated data"
